camn,frame,timestamp,cam_received_timestamp,device_timestamp,block_id,x,y,area,slope,eccentricity,frame_pt_idx,cur_val,mean_val,sumsqf_val
4,35310,NaN,1746558008.2190335,485770947822,35513,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35310,NaN,1746558008.2189214,501725747781,35520,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35310,NaN,1746558008.219087,495248486526,35516,131.20448,615.6539,44770.0,-0.034038067,1.5530627,0,255,12.226562,2666.4104
7,35310,NaN,1746558008.219087,495248486526,35516,87.54843,614.4414,45063.0,-0.70623636,1.3263499,1,255,12.417246,2699.7268
6,35311,NaN,1746558008.2259634,481530768111,35524,1098.8102,533.0102,40489.0,-0.5753426,1.2107543,0,253,15.897545,2549.8848
6,35311,NaN,1746558008.2259634,481530768111,35524,1046.5739,531.2394,40212.0,0.95386016,1.1835356,1,255,16.099154,2658.1428
4,35311,NaN,1746558008.2290983,485780948136,35514,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35311,NaN,1746558008.2289295,501735748095,35521,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35311,NaN,1746558008.2290564,495258486813,35517,131.1822,615.6558,44660.0,-0.00839193,1.5188516,0,255,12.226562,2666.4104
7,35311,NaN,1746558008.2290564,495258486813,35517,87.574234,614.44135,45236.0,-0.67921627,1.3290421,1,255,12.417246,2699.7268
6,35312,NaN,1746558008.2358398,481540768398,35525,1098.8306,533.0191,40490.0,-0.586995,1.1903594,0,254,15.897545,2549.8848
6,35312,NaN,1746558008.2358398,481540768398,35525,1046.5691,531.2549,40205.0,0.9421429,1.1738313,1,255,16.099154,2658.1428
4,35312,NaN,1746558008.2390723,485790948423,35515,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35312,NaN,1746558008.23896,501745748382,35522,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35312,NaN,1746558008.2391622,495268487100,35518,131.05653,615.65466,44764.0,-0.04692396,1.7040242,0,255,12.226562,2666.4104
7,35312,NaN,1746558008.2391622,495268487100,35518,87.55881,614.44415,45171.0,-0.6851428,1.3179647,1,255,12.417246,2699.7268
6,35313,NaN,1746558008.2458608,481550768685,35526,1046.5746,531.25604,40271.0,0.95523906,1.1921914,0,255,16.099154,2658.1428
6,35313,NaN,1746558008.2458608,481550768685,35526,1098.8223,533.03107,40495.0,-0.6004066,1.2068493,1,255,16.426888,2659.163
4,35313,NaN,1746558008.2489898,485800948737,35516,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35313,NaN,1746558008.2489285,501755748669,35523,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35313,NaN,1746558008.249164,495278487387,35519,131.14787,615.64825,44830.0,-0.032824267,1.6347761,0,255,12.226562,2666.4104
7,35313,NaN,1746558008.249164,495278487387,35519,87.54857,614.4332,45070.0,-0.70390815,1.3138206,1,255,12.417246,2699.7268
6,35314,NaN,1746558008.255744,481560768972,35527,1046.5792,531.25446,40231.0,0.9674683,1.1950299,0,255,16.099154,2658.1428
6,35314,NaN,1746558008.255744,481560768972,35527,1098.8108,533.01843,40477.0,-0.56254333,1.2105356,1,251,16.470213,2491.7424
5,35314,NaN,1746558008.2589083,501765748956,35524,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
4,35314,NaN,1746558008.259046,485810949024,35517,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35314,NaN,1746558008.2589812,495288487701,35520,131.11922,615.64923,44734.0,-0.031667624,1.6298468,0,255,12.226562,2666.4104
7,35314,NaN,1746558008.2589812,495288487701,35520,87.54832,614.42865,45182.0,-0.68432796,1.320167,1,255,12.417246,2699.7268
6,35315,NaN,1746558008.2658782,481570769286,35528,1046.5562,531.25494,40236.0,0.9190223,1.1821488,0,255,16.099154,2658.1428
6,35315,NaN,1746558008.2658782,481570769286,35528,1098.8384,533.0374,40381.0,-0.5932312,1.1980976,1,255,16.426888,2659.163
4,35315,NaN,1746558008.2690403,485820949311,35518,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35315,NaN,1746558008.2691295,501775749270,35525,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35315,NaN,1746558008.2691245,495298487988,35521,131.12323,615.6536,44754.0,-0.032034375,1.6296101,0,255,12.226562,2666.4104
7,35315,NaN,1746558008.2691245,495298487988,35521,87.55337,614.4268,45149.0,-0.6920115,1.3241987,1,255,12.417246,2699.7268
6,35316,NaN,1746558008.2758422,481580769573,35529,1046.5735,531.2418,40163.0,0.95120347,1.1855856,0,255,16.099154,2658.1428
6,35316,NaN,1746558008.2758422,481580769573,35529,1098.8281,533.0203,40444.0,-0.5949279,1.1907839,1,255,16.426888,2659.163
4,35316,NaN,1746558008.2790732,485830949598,35519,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35316,NaN,1746558008.2790997,501785749557,35526,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35316,NaN,1746558008.279035,495308488275,35522,131.12134,615.6551,44743.0,-0.030446552,1.623012,0,255,12.226562,2666.4104
7,35316,NaN,1746558008.279035,495308488275,35522,87.55928,614.4275,45219.0,-0.671151,1.328859,1,255,12.417246,2699.7268
6,35317,NaN,1746558008.2859735,481590769860,35530,1046.5796,531.2538,40254.0,0.95810705,1.1922289,0,255,16.099154,2658.1428
6,35317,NaN,1746558008.2859735,481590769860,35530,1098.8295,533.0387,40448.0,-0.5965975,1.2080184,1,255,16.426888,2659.163
4,35317,NaN,1746558008.2891228,485840949912,35520,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35317,NaN,1746558008.2891612,501795749844,35527,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35317,NaN,1746558008.2891726,495318488589,35523,131.14561,615.658,44823.0,-0.033874948,1.638769,0,255,12.226562,2666.4104
7,35317,NaN,1746558008.2891726,495318488589,35523,87.53301,614.4463,44978.0,-0.71488947,1.3069988,1,255,12.417246,2699.7268
6,35318,NaN,1746558008.2958724,481600770147,35531,1098.824,533.0209,40407.0,-0.5972491,1.2164652,0,253,15.897545,2549.8848
6,35318,NaN,1746558008.2958724,481600770147,35531,1046.5809,531.24744,40249.0,0.9513836,1.1955377,1,255,16.099154,2658.1428
4,35318,NaN,1746558008.299059,485850950199,35521,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35318,NaN,1746558008.2991517,501805750131,35528,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35318,NaN,1746558008.29902,495328488876,35524,131.17804,615.64716,44674.0,-0.027871612,1.5108653,0,255,12.226562,2666.4104
7,35318,NaN,1746558008.29902,495328488876,35524,87.57503,614.4368,45142.0,-0.69953525,1.3259779,1,255,12.417246,2699.7268
6,35319,NaN,1746558008.3059266,481610770461,35532,1098.8274,533.0001,40497.0,-0.5739027,1.1914927,0,255,15.897545,2549.8848
6,35319,NaN,1746558008.3059266,481610770461,35532,1046.5741,531.22394,40163.0,0.96215236,1.1842071,1,255,16.099154,2658.1428
4,35319,NaN,1746558008.3090825,485860950486,35522,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35319,NaN,1746558008.3090775,501815750445,35529,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35319,NaN,1746558008.3090234,495338489163,35525,131.16234,615.65234,44616.0,-0.03533897,1.5040061,0,255,12.226562,2666.4104
7,35319,NaN,1746558008.3090234,495338489163,35525,87.562454,614.434,45145.0,-0.6949932,1.3242449,1,255,12.417246,2699.7268
6,35320,NaN,1746558008.315965,481620770748,35533,1098.8296,533.00757,40307.0,-0.5650364,1.2098292,0,254,15.897545,2549.8848
6,35320,NaN,1746558008.315965,481620770748,35533,1046.5745,531.2323,40170.0,0.9544502,1.184518,1,255,16.099154,2658.1428
4,35320,NaN,1746558008.3190591,485870950773,35523,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35320,NaN,1746558008.3191922,501825750732,35530,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35320,NaN,1746558008.319113,495348489450,35526,131.108,615.63715,44752.0,-0.046399284,1.5925486,0,255,12.226562,2666.4104
7,35320,NaN,1746558008.319113,495348489450,35526,87.561356,614.43555,45075.0,-0.68805206,1.3205714,1,255,12.417246,2699.7268
6,35321,NaN,1746558008.3259666,481630771062,35534,1046.5525,531.2405,40215.0,0.9252617,1.1799277,0,255,16.099154,2658.1428
6,35321,NaN,1746558008.3259666,481630771062,35534,1098.8173,533.0036,40348.0,-0.5824209,1.1961324,1,255,16.71482,2697.4314
4,35321,NaN,1746558008.3290703,485880951087,35524,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35321,NaN,1746558008.3291445,501835751046,35531,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35321,NaN,1746558008.3290927,495358489764,35527,131.1188,615.6485,44728.0,-0.029868208,1.6241608,0,255,12.226562,2666.4104
7,35321,NaN,1746558008.3290927,495358489764,35527,87.5451,614.4266,45102.0,-0.6923516,1.3209645,1,255,12.417246,2699.7268
6,35322,NaN,1746558008.3358448,481640771349,35535,1046.5597,531.2385,40144.0,0.963119,1.1861542,0,255,16.099154,2658.1428
6,35322,NaN,1746558008.3358448,481640771349,35535,1098.8169,533.0327,40312.0,-0.5994531,1.2241296,1,255,16.71482,2697.4314
4,35322,NaN,1746558008.3391895,485890951374,35525,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35322,NaN,1746558008.3392756,501845751333,35532,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
7,35322,NaN,1746558008.3391166,495368490051,35528,128.89838,615.4852,47971.0,0.06113779,7.3928094,0,250,11.705689,2314.7104
7,35322,NaN,1746558008.3391166,495368490051,35528,87.036865,614.51636,42123.0,-1.6901387,1.2522644,1,255,12.417246,2699.7268
6,35323,NaN,1746558008.3458977,481650771636,35536,1046.5435,531.2416,40221.0,0.91494536,1.1801565,0,255,16.099154,2658.1428
6,35323,NaN,1746558008.3458977,481650771636,35536,1098.7966,533.0157,40426.0,-0.5736466,1.2086277,1,255,16.71482,2697.4314
4,35323,NaN,1746558008.3490534,485900951688,35526,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
5,35323,NaN,1746558008.34918,501855751620,35533,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
